dates,who,city,state,country,title,university_or_venue,time,event_type,date_certainty,source,source_url,notes,mdx_page
2025-05-06,Charlie,San Francisco,CA,USA,American Comeback Tour — San Francisco State University,"Mashouf All Purpose Field, 755 Font Blvd, San Francisco",12:00–14:30 PDT,campus,EVENT_DATE,SFSU GatorXperience / CampusLabs event page,https://sfsu.campuslabs.com/engage/event/11288672,"EVENT DATE May 6, 2025, 12:00-2:30 PM PDT. Riley Gaines was previously barricaded in a classroom after a 2023 TPUSA chapter event at SFSU — different event, same campus.",site/docs/Planes/following/speaking/20250506_san_francisco.mdx
2025-06-13 to 2025-06-15,Both,Grapevine,TX,USA,Young Women's Leadership Summit 2025 (10th anniversary),"Gaylord Texan Resort & Convention Center, 1501 Gaylord Trail, Grapevine, TX",,summit,EVENT_DATE,TPUSA press release 14 Mar 2025; SPLC Hatewatch 9 July 2025; Wikipedia TPUSA; @TPUSA 13-14 June 2025,https://tpusa.com/live/turning-point-usa-announces-young-womens-leadership-summit-2025/,"THE ONLY WELL-DATED JOINT CHARLIE-AND-ERIKA TPUSA APPEARANCE BEFORE SEPT 10. EVENT DATES June 13-15, 2025, Gaylord Texan. ~3,000 attendees. Both Kirks spoke and took questions. This is the concrete form of 'Erika's side is the weak side': the 73-overlap tally is built on Erika locations this repo still cannot list, and this summit is the exception. Replaces the month-only June 2025 row and the 2025-07-06 Q&A podcast-proxy row.",site/docs/Planes/following/speaking/20250613_grapevine.mdx
2025-07-09 to 2025-07-11,Charlie,Tampa,FL,USA,Chapter Leadership Summit 2025,"Tampa, Florida (9th annual CLS)",,summit,EVENT_DATE,tpusa.com/cls; @tpusastudents 25 Mar 2025,https://tpusa.com/cls,"EVENT DATES July 9-11, 2025, Tampa. Immediately before SAS at the same city. SAME WEEK as SU-BTT's alleged first-ever U.S. landing in the Omaha/Lincoln corridor (July 20 is nine days later). The 2025-07-20 CLS podcast is a delayed release, not a July 20 Tampa event. Replaces the UNKNOWN-city July 20 CLS row.",site/docs/Planes/following/speaking/20250709_tampa.mdx
2025-07-10 to 2025-07-13,Charlie,Tampa,FL,USA,Turning Point Academy Educators' Summit 2025,"Tampa, Florida",,summit,EVENT_DATE,tpusa.com/past-events; @tpusaeducation 9 Apr 2025,https://tpusa.com/past-events,"EVENT DATES July 10-13, 2025, Tampa, overlapping SAS. Replaces the 2025-08-10 UNKNOWN-city Educators row as the live date (the August podcast is a delayed release).",site/docs/Planes/following/speaking/20250710_tampa.mdx
2025-07-11 to 2025-07-13,Charlie,Tampa,FL,USA,TPUSA Student Action Summit 2025,"Tampa Convention Center, 333 S Franklin St, Tampa, FL",,summit,EVENT_DATE,"sas2025.com; Fox News live blog 11 July 2025; Wikipedia TPUSA (5,000 attendees)",https://www.sas2025.com/,"EVENT DATES July 11-13, 2025. Kirk opened; guests included Pete Hegseth, Kristi Noem, Tom Homan, Donald Trump Jr., Megyn Kelly, Tucker Carlson (July 14 Tucker is reported on the site's sas-2025-tampa page). Dave Smith vs Josh Hammer Israel/Epstein debate July 13. This is the public face of the donor fight researchers treat as motive.",site/docs/Planes/following/speaking/20250711_tampa.mdx
2025-08-06 to 2025-08-08,Charlie,Rancho Palos Verdes,CA,USA,Faith Forward Pastors Summit — Terranea Resort,"Terranea Resort, 100 Terranea Way, Rancho Palos Verdes, CA",,faith,EVENT_DATE,"John Fea / ChurchLeaders 2 Aug 2025 (second pastors summit of 2025, ~600 pastors); tpusafaithevents.com",https://thewayofimprovement.blog/2025/08/02/court-evangelicals-will-gather-at-charlie-kirks-turning-point-usa-faith-summit/,"EVENT DATES Aug 6-8, 2025. Speakers listed: Charlie Kirk, Greg Laurie, Jack Hibbs, Rob McCoy, Samuel Rodriguez, Eric Metaxas, Lila Rose, Frank Turek, Megan Basham. Podcast 2025-08-24 'Islam Against America: My Speech at the Pastors Summit' is a delayed release. Falls after SU-BTU's Minot -> Provo leg (2025-08-08) — dates neighbor; no document ties them. Replaces the UNKNOWN-city Aug 24 row.",site/docs/Planes/following/speaking/20250806_rancho_palos_verdes.mdx
2025-08-20 to 2025-08-22,Charlie,Dallas,TX,USA,Win the Storm,"Dallas, Texas (winthestorm.com)",,conference,EVENT_DATE,charliekirk.com/events past-events list,https://www.charliekirk.com/events,"EVENT DATES Aug 20-22, 2025, Dallas. Listed on Kirk's own events page. Not necessarily a TPUSA-branded summit; included because it is a sourced Charlie speaking appearance in the window.",site/docs/Planes/following/speaking/20250820_dallas.mdx
2025-08-21,Charlie,North Myrtle Beach,SC,USA,Alex McFarland Speaker Series featuring Charlie Kirk,"Alabama Theatre, North Myrtle Beach, South Carolina",,speaking,EVENT_DATE,charliekirk.com/events,https://www.alabama-theatre.com/myrtle-beach-shows/alex-mcfarland-speaker-series-featuring-charlie-kirk/9140,"EVENT DATE Aug 21, 2025. Overlaps Win the Storm Dallas Aug 20-22 on the same events page — one of these listings may be stale. Record both and mark the collision.",site/docs/Planes/following/speaking/20250821_north_myrtle_beach.mdx
2025-09-05 to 2025-09-06,Charlie,Seoul,,South Korea,Build Up Korea 2025,"Build Up Korea 2025, Seoul / Goyang-si, Gyeonggi-do",,conference,EVENT_DATE,NBC News 12 Sep 2025; Reuters 11 Sep 2025; charliekirk.com/events (Goyang-si); Korea JoongAng Daily,https://www.nbcnews.com/world/asia/charlie-kirk-was-spreading-conservative-message-asia-days-was-killed-rcna230759,"EVENT DATES Sept 5-6, 2025. First Asia tour. Kirk spoke Friday Sept 5 in Seoul (NBC/Reuters) at a forum previously attended by Donald Trump Jr. charliekirk.com lists Goyang-si. Days before UVU.",site/docs/Planes/following/speaking/20250905_seoul.mdx
2025-09-07,Charlie,Tokyo,,Japan,Charlie Kirk Symposium — Sanseito (last speech),"Sabo Kaikan Annex, Tokyo",,speaking,EVENT_DATE,Reuters 11 Sep 2025; Newsweek 'Charlie Kirk's Last Speech'; GPAHE; podcast 2025-11-23 'Charlie's Final Speech' (Sept 6 Tokyo in the episode — date disagrees with the Sept 7 listing),https://www.reuters.com/world/us/days-before-death-charlie-kirk-debuted-his-conservative-message-asia-2025-09-11/,"EVENT DATE commonly given as Sept 7, 2025, Tokyo, Sanseito-hosted symposium. The 2025-11-23 podcast calls a Sept 6 Tokyo speech his last. Record the 6-vs-7 dispute. This is his last sourced public speech before UVU.",site/docs/Planes/following/speaking/20250907_tokyo.mdx
2025-09-10,Charlie,Orem,UT,USA,The American Comeback Tour — UVU (first stop of the fall tour),"Utah Valley University, Sorensen Center courtyard",event ~10:00 MDT announced; shot at 12:23:30 PM MDT,campus,EVENT_DATE,KMYU (10 a.m. courtyard); UVU pages on this site; Fox/ABC 10 Sep 2025,https://kmyu.tv/news/politics/activist-social-media-personality-charles-kirk-schedules-events-at-two-utah-universities,THE EVENT. Charlie Kirk was assassinated here at 12:23:30 PM MDT. First stop of TPUSA's fall American Comeback Tour (15 dates Sept 10-Oct 29 announced). Erika Kirk's presence is DISPUTED: one compilation spreadsheet places her in 'Nebraska/Delaware' for TPUSA media appearances that day; she has said she stayed home in Arizona with her mother. Neither version is independently documented. SU-BTT departed Provo (~7 mi) that morning; SU-BND sat at Provo with its transponder on and never took off. Next scheduled Charlie stop was Colorado State Sept 18.,site/docs/Planes/following/speaking/20250910_orem.mdx
2025-09-11,Charlie,Woodland Park,CO,USA,Truth and Liberty Conference with Charis Bible College (scheduled),"Charis Bible College, Woodland Park, Colorado",,conference,SCHEDULED_NOT_HELD,charliekirk.com/events past-events list,https://www.charliekirk.com/events,Listed as a past event on Kirk's site the day after his death. He could not have attended. Do not treat as a live appearance.,site/docs/Planes/following/speaking/20250911_woodland_park.mdx
2025-09-18,Charlie,Fort Collins,CO,USA,"American Comeback Tour — Colorado State University (scheduled, not held by Charlie)",Colorado State University,,campus,SCHEDULED_NOT_HELD,AZ Central 11 Sep 2025; Fox News 10 Sep 2025,https://www.azcentral.com/story/news/politics/arizona/2025/09/11/charlie-kirk-american-comeback-campus-tour/86085720007/,Was to be Charlie's next appearance after UVU. He was killed eight days earlier. Not held by him.,site/docs/Planes/following/speaking/20250918_fort_collins.mdx
2025-09-19 to 2025-09-20,Charlie,Murfreesboro,TN,USA,Culture and Christianity Conference with Pastor Allen Jackson (scheduled),"Murfreesboro, Tennessee",,conference,SCHEDULED_NOT_HELD,charliekirk.com/events,https://cultureandchristianity.org/conference/,On Kirk's past-events list after his death. Do not treat as a live appearance.,site/docs/Planes/following/speaking/20250919_murfreesboro.mdx
2025-09-21,Erika,Glendale,AZ,USA,Charlie Kirk stadium memorial,"State Farm Stadium, Glendale, AZ",,memorial,EVENT_DATE,site/docs/Timeline/funeral-memorial-timeline.mdx,site/docs/Timeline/funeral-memorial-timeline.mdx,Produced by the same vendor that produces AmericaFest. Erika Kirk publicly forgave the man accused of killing her husband. TPUSA-produced event Erika attended inside the window.,site/docs/Planes/following/speaking/20250921_glendale.mdx
2025-09-22,TPUSA,Minneapolis,MN,USA,Turning Point Tour (resumed) — University of Minnesota Twin Cities,University of Minnesota Twin Cities,,campus,AFTER_DEATH,NewsNation 25 Sep 2025; NY Post 22 Sep 2025; USA Today 22 Sep 2025,https://www.newsnationnow.com/politics/turning-point-usa-resumes-charlie-kirks-college-campus-tour/,First stop after Kirk's death. Guest: Michael Knowles. Tour rebranded from American Comeback Tour to Turning Point Tour. Charlie did not appear.,site/docs/Planes/following/speaking/20250922_minneapolis.mdx
2025-09-24,TPUSA,Blacksburg,VA,USA,Turning Point Tour — Virginia Tech,Virginia Tech,,campus,AFTER_DEATH,"KCRA 23 Sep 2025; NewsNation (~3,000 claimed)",https://www.kcra.com/article/turning-point-usa-continues-tour-uc-berkeley/68026439,Guests: Megyn Kelly and Gov. Glenn Youngkin. Charlie did not appear.,site/docs/Planes/following/speaking/20250924_blacksburg.mdx
2025-09-25,Charlie,Hanover,NH,USA,Scheduled debate vs Hasan Piker — Dartmouth College (not held by Charlie),Dartmouth College,,debate,SCHEDULED_NOT_HELD,ABC News 10 Sep 2025 (Dartmouth event page cited),https://abcnews.com/Politics/charlie-kirks-tour-invited-political-debates-college-campuses/story?id=125459212,Kirk had been scheduled to debate Hasan Piker at Dartmouth on Sept 25. He was killed 15 days earlier.,site/docs/Planes/following/speaking/20250925_hanover.mdx
2025-09-30,TPUSA,Logan,UT,USA,Turning Point Tour — Utah State University,"Utah State University, Logan",18:30 MT (KMYU),campus,AFTER_DEATH,KMYU (6:30 p.m.); KCRA 23 Sep 2025,https://kmyu.tv/news/politics/activist-social-media-personality-charles-kirk-schedules-events-at-two-utah-universities,"Originally on Kirk's fall list with UVU. After his death: Alex Clark, Sen. Mike Lee, Gov. Spencer Cox, Rep. Andy Biggs, former Rep. Jason Chaffetz. Charlie did not appear.",site/docs/Planes/following/speaking/20250930_logan.mdx
2025-10-07,TPUSA,Bozeman,MT,USA,Turning Point Tour — Montana State University,Montana State University,,campus,AFTER_DEATH,KCRA 23 Sep 2025,https://www.kcra.com/article/turning-point-usa-continues-tour-uc-berkeley/68026439,Guests: Vivek Ramaswamy and Gov. Greg Gianforte. Charlie did not appear.,site/docs/Planes/following/speaking/20251007_bozeman.mdx
2025-10-09,TPUSA,Grand Forks,ND,USA,Turning Point Tour — University of North Dakota,University of North Dakota,,campus,AFTER_DEATH,KCRA 23 Sep 2025,https://www.kcra.com/article/turning-point-usa-continues-tour-uc-berkeley/68026439,Guest: Glenn Beck. Charlie did not appear.,site/docs/Planes/following/speaking/20251009_grand_forks.mdx
2025-10-16,TPUSA,Norman,OK,USA,Turning Point Tour — University of Oklahoma,University of Oklahoma,,campus,AFTER_DEATH,KOCO 23 Sep 2025; KCRA,https://www.koco.com/article/charlie-kirk-turning-point-usa-tour-university-of-oklahoma/68012106,Charlie did not appear. Guests TBA at announcement.,site/docs/Planes/following/speaking/20251016_norman.mdx
2025-10-21,TPUSA,Bloomington,IN,USA,Turning Point Tour — Indiana University Bloomington,Indiana University Bloomington,,campus,AFTER_DEATH,Indianapolis Star 11 Sep 2025 (had been on Kirk's fall list); NY Post 22 Sep 2025,https://nypost.com/2025/09/22/us-news/turning-point-usa-announces-star-studded-lineup-of-campus-speaking-dates-after-charlie-kirks-murder/,Had been scheduled for Kirk. After his death TPUSA kept the date. Charlie did not appear.,site/docs/Planes/following/speaking/20251021_bloomington.mdx
2025-10-27,TPUSA,Baton Rouge,LA,USA,Turning Point Tour — Louisiana State University,Louisiana State University,,campus,AFTER_DEATH,KCRA 23 Sep 2025,https://www.kcra.com/article/turning-point-usa-continues-tour-uc-berkeley/68026439,Guests: Allie Beth Stuckey and Gov. Jeff Landry. Charlie did not appear. Kirk had spoken at LSU on 2023-03-21.,site/docs/Planes/following/speaking/20251027_baton_rouge.mdx
2025-10-29,TPUSA,Oxford,MS,USA,Turning Point Tour / This Is the Turning Point — University of Mississippi,"Sandy and John Black Pavilion at Ole Miss, 762 All American Drive, Oxford, MS",17:00 local (doors earlier),campus,AFTER_DEATH,Ole Miss event calendar; Newsweek 29 Oct 2025 (JD Vance with Erika Kirk),https://eventcalendar.olemiss.edu/event/charlie-kirk-hosted-by-the-tpusa-chapter-at-university-of-mississippi-ole-miss-the-american-comeback-tour,Last announced October 2025 date of the original American Comeback fall list. Newsweek: VP JD Vance appeared with Erika Kirk — first stop of 'This Is the Turning Point' campus tour led by Erika. Charlie did not appear.,site/docs/Planes/following/speaking/20251029_oxford.mdx
